time,bev_private0,bev_private0,bev_private0,bev_private0,bev_private0,bev_private0,bev_private1,bev_private1,bev_private1,bev_private1,bev_private1,bev_private1,bev_private2,bev_private2,bev_private2,bev_private2,bev_private2,bev_private2
time,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist,atbase,dsoc,consumption,atac,atdc,tour_dist
2023-07-01 09:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 09:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 09:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 10:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 10:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 10:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,2205.477935,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 10:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,2205.477935,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 11:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,2205.477935,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 11:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,2205.477935,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 11:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 11:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 12:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 12:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 12:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 12:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 13:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 13:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 13:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 13:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 14:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 14:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 14:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 14:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 15:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 15:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 15:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 15:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0.032646272,1237.852269,FALSE,FALSE,13,TRUE,0,0,FALSE,FALSE,0
2023-07-01 16:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,1237.852269,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 16:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 16:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 16:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 17:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 17:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 17:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 17:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 18:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 18:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 18:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 18:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 19:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 19:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 19:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,FALSE,0,5098.230618,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 19:45:00+02:00,FALSE,0.010970255,986.0867238,FALSE,FALSE,3,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 20:00:00+02:00,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 20:15:00+02:00,FALSE,0,0,TRUE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 20:30:00+02:00,FALSE,0,1559.012333,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 20:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 21:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 21:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 21:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 21:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 22:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 22:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 22:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 22:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 23:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 23:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 23:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-01 23:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 00:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 00:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 00:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 00:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 01:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 01:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 01:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 01:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 02:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 02:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 02:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 02:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 03:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 03:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 03:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 03:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 04:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 04:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 04:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 04:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 05:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 05:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 05:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 05:45:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 06:00:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 06:15:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
2023-07-02 06:30:00+02:00,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0,TRUE,0,0,FALSE,FALSE,0
