time,cost (€/MWh)
2023-07-11 06:15:00+02:00,0.000338073
2023-07-11 06:30:00+02:00,0.000338073
2023-07-11 06:45:00+02:00,0.000338073
2023-07-11 07:00:00+02:00,0.000340378
2023-07-11 07:15:00+02:00,0.000340378
2023-07-11 07:30:00+02:00,0.000340378
2023-07-11 07:45:00+02:00,0.000340378
2023-07-11 08:00:00+02:00,0.000334816
2023-07-11 08:15:00+02:00,0.000334816
2023-07-11 08:30:00+02:00,0.000334816
2023-07-11 08:45:00+02:00,0.000334816
2023-07-11 09:00:00+02:00,0.000314962
2023-07-11 09:15:00+02:00,0.000314962
2023-07-11 09:30:00+02:00,0.000314962
2023-07-11 09:45:00+02:00,0.000314962
2023-07-11 10:00:00+02:00,0.000300832
2023-07-11 10:15:00+02:00,0.000300832
2023-07-11 10:30:00+02:00,0.000300832
2023-07-11 10:45:00+02:00,0.000300832
2023-07-11 11:00:00+02:00,0.000284886
2023-07-11 11:15:00+02:00,0.000284886
2023-07-11 11:30:00+02:00,0.000284886
2023-07-11 11:45:00+02:00,0.000284886
2023-07-11 12:00:00+02:00,0.000255662
2023-07-11 12:15:00+02:00,0.000255662
2023-07-11 12:30:00+02:00,0.000255662
2023-07-11 12:45:00+02:00,0.000255662
2023-07-11 13:00:00+02:00,0.00024142
2023-07-11 13:15:00+02:00,0.00024142
2023-07-11 13:30:00+02:00,0.00024142
2023-07-11 13:45:00+02:00,0.00024142
2023-07-11 14:00:00+02:00,0.000242672
2023-07-11 14:15:00+02:00,0.000242672
2023-07-11 14:30:00+02:00,0.000242672
2023-07-11 14:45:00+02:00,0.000242672
2023-07-11 15:00:00+02:00,0.000266798
2023-07-11 15:15:00+02:00,0.000266798
2023-07-11 15:30:00+02:00,0.000266798
2023-07-11 15:45:00+02:00,0.000266798
2023-07-11 16:00:00+02:00,0.000293817
2023-07-11 16:15:00+02:00,0.000293817
2023-07-11 16:30:00+02:00,0.000293817
2023-07-11 16:45:00+02:00,0.000293817
2023-07-11 17:00:00+02:00,0.000302824
2023-07-11 17:15:00+02:00,0.000302824
2023-07-11 17:30:00+02:00,0.000302824
2023-07-11 17:45:00+02:00,0.000302824
2023-07-11 18:00:00+02:00,0.000335605
2023-07-11 18:15:00+02:00,0.000335605
2023-07-11 18:30:00+02:00,0.000335605
2023-07-11 18:45:00+02:00,0.000335605
2023-07-11 19:00:00+02:00,0.000398775
2023-07-11 19:15:00+02:00,0.000398775
2023-07-11 19:30:00+02:00,0.000398775
2023-07-11 19:45:00+02:00,0.000398775
2023-07-11 20:00:00+02:00,0.000410024
2023-07-11 20:15:00+02:00,0.000410024
2023-07-11 20:30:00+02:00,0.000410024
2023-07-11 20:45:00+02:00,0.000410024
2023-07-11 21:00:00+02:00,0.000352415
2023-07-11 21:15:00+02:00,0.000352415
2023-07-11 21:30:00+02:00,0.000352415
2023-07-11 21:45:00+02:00,0.000352415
2023-07-11 22:00:00+02:00,0.000333563
2023-07-11 22:15:00+02:00,0.000333563
2023-07-11 22:30:00+02:00,0.000333563
2023-07-11 22:45:00+02:00,0.000333563
2023-07-11 23:00:00+02:00,0.000312557
2023-07-11 23:15:00+02:00,0.000312557
2023-07-11 23:30:00+02:00,0.000312557
2023-07-11 23:45:00+02:00,0.000312557
2023-07-12 00:00:00+02:00,0.000306657
2023-07-12 00:15:00+02:00,0.000306657
2023-07-12 00:30:00+02:00,0.000306657
2023-07-12 00:45:00+02:00,0.000306657
2023-07-12 01:00:00+02:00,0.0002973
2023-07-12 01:15:00+02:00,0.0002973
2023-07-12 01:30:00+02:00,0.0002973
2023-07-12 01:45:00+02:00,0.0002973
2023-07-12 02:00:00+02:00,0.000296047
2023-07-12 02:15:00+02:00,0.000296047
2023-07-12 02:30:00+02:00,0.000296047
2023-07-12 02:45:00+02:00,0.000296047
2023-07-12 03:00:00+02:00,0.000286139
2023-07-12 03:15:00+02:00,0.000286139
2023-07-12 03:30:00+02:00,0.000286139
2023-07-12 03:45:00+02:00,0.000286139
2023-07-12 04:00:00+02:00,0.000288005
2023-07-12 04:15:00+02:00,0.000288005
2023-07-12 04:30:00+02:00,0.000288005
2023-07-12 04:45:00+02:00,0.000288005
2023-07-12 05:00:00+02:00,0.000289947
2023-07-12 05:15:00+02:00,0.000289947
2023-07-12 05:30:00+02:00,0.000289947
2023-07-12 05:45:00+02:00,0.000289947
2023-07-12 06:00:00+02:00,0.000311141
2023-07-12 06:15:00+02:00,0.000311141
2023-07-12 06:30:00+02:00,0.000311141
2023-07-12 06:45:00+02:00,0.000311141
2023-07-12 07:00:00+02:00,0.000331171
2023-07-12 07:15:00+02:00,0.000331171
2023-07-12 07:30:00+02:00,0.000331171
2023-07-12 07:45:00+02:00,0.000331171
2023-07-12 08:00:00+02:00,0.000333626
2023-07-12 08:15:00+02:00,0.000333626
2023-07-12 08:30:00+02:00,0.000333626
2023-07-12 08:45:00+02:00,0.000333626
2023-07-12 09:00:00+02:00,0.000314636
2023-07-12 09:15:00+02:00,0.000314636
2023-07-12 09:30:00+02:00,0.000314636
2023-07-12 09:45:00+02:00,0.000314636
2023-07-12 10:00:00+02:00,0.000291487
2023-07-12 10:15:00+02:00,0.000291487
2023-07-12 10:30:00+02:00,0.000291487
2023-07-12 10:45:00+02:00,0.000291487
2023-07-12 11:00:00+02:00,0.000270706
2023-07-12 11:15:00+02:00,0.000270706
