Timeseries,kW,W
2023-07-16 04:30:00+02:00,0,0
2023-07-16 04:45:00+02:00,0,0
2023-07-16 05:00:00+02:00,0,0
2023-07-16 05:15:00+02:00,0,0
2023-07-16 05:30:00+02:00,0.04,40
2023-07-16 05:45:00+02:00,0.25,250
2023-07-16 06:00:00+02:00,0.41,410
2023-07-16 06:15:00+02:00,0.43,430
2023-07-16 06:30:00+02:00,0.97,970
2023-07-16 06:45:00+02:00,1.43,1430
2023-07-16 07:00:00+02:00,1.93,1930
2023-07-16 07:15:00+02:00,3.050000001,3050.000001
2023-07-16 07:30:00+02:00,4.11,4110
2023-07-16 07:45:00+02:00,3.39,3390
2023-07-16 08:00:00+02:00,2.44,2440
2023-07-16 08:15:00+02:00,3.159999999,3159.999999
2023-07-16 08:30:00+02:00,5.43,5430
2023-07-16 08:45:00+02:00,4.5,4500
2023-07-16 09:00:00+02:00,3.110000001,3110.000001
2023-07-16 09:15:00+02:00,4.089999999,4089.999999
2023-07-16 09:30:00+02:00,5.439999999,5439.999999
2023-07-16 09:45:00+02:00,8.25,8250
2023-07-16 10:00:00+02:00,9.24,9240
2023-07-16 10:15:00+02:00,11.44,11440
2023-07-16 10:30:00+02:00,13.45,13450
2023-07-16 10:45:00+02:00,13.55,13550
2023-07-16 11:00:00+02:00,18.3,18300
2023-07-16 11:15:00+02:00,16.98,16980
2023-07-16 11:30:00+02:00,22.38,22380
2023-07-16 11:45:00+02:00,20.94,20940
2023-07-16 12:00:00+02:00,19.46,19460
2023-07-16 12:15:00+02:00,16.57,16570
2023-07-16 12:30:00+02:00,15.33,15330
2023-07-16 12:45:00+02:00,16.6,16600
2023-07-16 13:00:00+02:00,20.79,20790
2023-07-16 13:15:00+02:00,18.47,18470
2023-07-16 13:30:00+02:00,15.03,15030
2023-07-16 13:45:00+02:00,19.45,19450
2023-07-16 14:00:00+02:00,13.88,13880
2023-07-16 14:15:00+02:00,12.66,12660
2023-07-16 14:30:00+02:00,11.37,11370
2023-07-16 14:45:00+02:00,9.12,9120
2023-07-16 15:00:00+02:00,9.020000001,9020.000001
2023-07-16 15:15:00+02:00,12.78,12780
2023-07-16 15:30:00+02:00,13.86,13860
2023-07-16 15:45:00+02:00,12.34,12340
2023-07-16 16:00:00+02:00,10.91,10910
2023-07-16 16:15:00+02:00,9.9,9900
2023-07-16 16:30:00+02:00,8.7,8700
2023-07-16 16:45:00+02:00,8.439999999,8439.999999
2023-07-16 17:00:00+02:00,7.850000001,7850.000001
2023-07-16 17:15:00+02:00,4.89,4890
2023-07-16 17:30:00+02:00,3.260000001,3260.000001
2023-07-16 17:45:00+02:00,5.76,5760
2023-07-16 18:00:00+02:00,6.350000001,6350.000001
2023-07-16 18:15:00+02:00,4.479999999,4479.999999
2023-07-16 18:30:00+02:00,5.060000001,5060.000001
2023-07-16 18:45:00+02:00,4.700000001,4700.000001
2023-07-16 19:00:00+02:00,3.699999999,3699.999999
2023-07-16 19:15:00+02:00,3.36,3360
2023-07-16 19:30:00+02:00,2.76,2760
2023-07-16 19:45:00+02:00,2.14,2140
2023-07-16 20:00:00+02:00,1.46,1460
2023-07-16 20:15:00+02:00,0.96,960
2023-07-16 20:30:00+02:00,0.62,620
2023-07-16 20:45:00+02:00,0.25,250
2023-07-16 21:00:00+02:00,0.01,10
2023-07-16 21:15:00+02:00,0,0
2023-07-16 21:30:00+02:00,0,0
2023-07-16 21:45:00+02:00,0,0
2023-07-16 22:00:00+02:00,0,0
2023-07-16 22:15:00+02:00,0,0
2023-07-16 22:30:00+02:00,0,0
2023-07-16 22:45:00+02:00,0,0
2023-07-16 23:00:00+02:00,0,0
2023-07-16 23:15:00+02:00,0,0
2023-07-16 23:30:00+02:00,0,0
2023-07-16 23:45:00+02:00,0,0
2023-07-17 00:00:00+02:00,0,0
