time,cost (€/MWh),cost (€/kWh)
2024-01-16 04:15:00+01:00,0.000279725,0.279725
2024-01-16 04:30:00+01:00,0.000279725,0.279725
2024-01-16 04:45:00+01:00,0.000279725,0.279725
2024-01-16 05:00:00+01:00,0.000285337,0.285337
2024-01-16 05:15:00+01:00,0.000285337,0.285337
2024-01-16 05:30:00+01:00,0.000285337,0.285337
2024-01-16 05:45:00+01:00,0.000285337,0.285337
2024-01-16 06:00:00+01:00,0.000301145,0.301145
2024-01-16 06:15:00+01:00,0.000301145,0.301145
2024-01-16 06:30:00+01:00,0.000301145,0.301145
2024-01-16 06:45:00+01:00,0.000301145,0.301145
2024-01-16 07:00:00+01:00,0.000327075,0.327075
2024-01-16 07:15:00+01:00,0.000327075,0.327075
2024-01-16 07:30:00+01:00,0.000327075,0.327075
2024-01-16 07:45:00+01:00,0.000327075,0.327075
2024-01-16 08:00:00+01:00,0.000363827,0.363827
2024-01-16 08:15:00+01:00,0.000363827,0.363827
2024-01-16 08:30:00+01:00,0.000363827,0.363827
2024-01-16 08:45:00+01:00,0.000363827,0.363827
2024-01-16 09:00:00+01:00,0.000356925,0.356925
2024-01-16 09:15:00+01:00,0.000356925,0.356925
2024-01-16 09:30:00+01:00,0.000356925,0.356925
2024-01-16 09:45:00+01:00,0.000356925,0.356925
2024-01-16 10:00:00+01:00,0.000336131,0.336131
2024-01-16 10:15:00+01:00,0.000336131,0.336131
2024-01-16 10:30:00+01:00,0.000336131,0.336131
2024-01-16 10:45:00+01:00,0.000336131,0.336131
2024-01-16 11:00:00+01:00,0.0003211,0.3211
2024-01-16 11:15:00+01:00,0.0003211,0.3211
2024-01-16 11:30:00+01:00,0.0003211,0.3211
2024-01-16 11:45:00+01:00,0.0003211,0.3211
2024-01-16 12:00:00+01:00,0.00031287,0.31287
2024-01-16 12:15:00+01:00,0.00031287,0.31287
2024-01-16 12:30:00+01:00,0.00031287,0.31287
2024-01-16 12:45:00+01:00,0.00031287,0.31287
2024-01-16 13:00:00+01:00,0.000302285,0.302285
2024-01-16 13:15:00+01:00,0.000302285,0.302285
2024-01-16 13:30:00+01:00,0.000302285,0.302285
2024-01-16 13:45:00+01:00,0.000302285,0.302285
2024-01-16 14:00:00+01:00,0.000303563,0.303563
2024-01-16 14:15:00+01:00,0.000303563,0.303563
2024-01-16 14:30:00+01:00,0.000303563,0.303563
2024-01-16 14:45:00+01:00,0.000303563,0.303563
2024-01-16 15:00:00+01:00,0.000321413,0.321413
2024-01-16 15:15:00+01:00,0.000321413,0.321413
2024-01-16 15:30:00+01:00,0.000321413,0.321413
2024-01-16 15:45:00+01:00,0.000321413,0.321413
2024-01-16 16:00:00+01:00,0.000322841,0.322841
2024-01-16 16:15:00+01:00,0.000322841,0.322841
2024-01-16 16:30:00+01:00,0.000322841,0.322841
2024-01-16 16:45:00+01:00,0.000322841,0.322841
2024-01-16 17:00:00+01:00,0.000343835,0.343835
2024-01-16 17:15:00+01:00,0.000343835,0.343835
2024-01-16 17:30:00+01:00,0.000343835,0.343835
2024-01-16 17:45:00+01:00,0.000343835,0.343835
2024-01-16 18:00:00+01:00,0.000342783,0.342783
2024-01-16 18:15:00+01:00,0.000342783,0.342783
2024-01-16 18:30:00+01:00,0.000342783,0.342783
2024-01-16 18:45:00+01:00,0.000342783,0.342783
2024-01-16 19:00:00+01:00,0.000323317,0.323317
2024-01-16 19:15:00+01:00,0.000323317,0.323317
2024-01-16 19:30:00+01:00,0.000323317,0.323317
2024-01-16 19:45:00+01:00,0.000323317,0.323317
2024-01-16 20:00:00+01:00,0.000302924,0.302924
2024-01-16 20:15:00+01:00,0.000302924,0.302924
2024-01-16 20:30:00+01:00,0.000302924,0.302924
2024-01-16 20:45:00+01:00,0.000302924,0.302924
2024-01-16 21:00:00+01:00,0.000291299,0.291299
2024-01-16 21:15:00+01:00,0.000291299,0.291299
2024-01-16 21:30:00+01:00,0.000291299,0.291299
2024-01-16 21:45:00+01:00,0.000291299,0.291299
2024-01-16 22:00:00+01:00,0.000286076,0.286076
2024-01-16 22:15:00+01:00,0.000286076,0.286076
2024-01-16 22:30:00+01:00,0.000286076,0.286076
2024-01-16 22:45:00+01:00,0.000286076,0.286076
2024-01-16 23:00:00+01:00,0.000280627,0.280627
2024-01-16 23:15:00+01:00,0.000280627,0.280627
2024-01-16 23:30:00+01:00,0.000280627,0.280627
2024-01-16 23:45:00+01:00,0.000280627,0.280627
2024-01-17 00:00:00+01:00,0.000273011,0.273011
2024-01-17 00:15:00+01:00,0.000273011,0.273011
2024-01-17 00:30:00+01:00,0.000273011,0.273011
2024-01-17 00:45:00+01:00,0.000273011,0.273011
2024-01-17 01:00:00+01:00,0.000272898,0.272898
2024-01-17 01:15:00+01:00,0.000272898,0.272898
2024-01-17 01:30:00+01:00,0.000272898,0.272898
2024-01-17 01:45:00+01:00,0.000272898,0.272898
2024-01-17 02:00:00+01:00,0.000271859,0.271859
2024-01-17 02:15:00+01:00,0.000271859,0.271859
2024-01-17 02:30:00+01:00,0.000271859,0.271859
2024-01-17 02:45:00+01:00,0.000271859,0.271859
2024-01-17 03:00:00+01:00,0.000270669,0.270669
2024-01-17 03:15:00+01:00,0.000270669,0.270669
2024-01-17 03:30:00+01:00,0.000270669,0.270669
2024-01-17 03:45:00+01:00,0.000270669,0.270669
2024-01-17 04:00:00+01:00,0.00027033,0.27033
2024-01-17 04:15:00+01:00,0.00027033,0.27033
2024-01-17 04:30:00+01:00,0.00027033,0.27033
2024-01-17 04:45:00+01:00,0.00027033,0.27033
2024-01-17 05:00:00+01:00,0.000272322,0.272322
2024-01-17 05:15:00+01:00,0.000272322,0.272322
2024-01-17 05:30:00+01:00,0.000272322,0.272322
2024-01-17 05:45:00+01:00,0.000272322,0.272322
2024-01-17 06:00:00+01:00,0.00027737,0.27737
2024-01-17 06:15:00+01:00,0.00027737,0.27737
2024-01-17 06:30:00+01:00,0.00027737,0.27737
